,cat_name,num_images,num_videos,age,breed,color,size,sex,characteristics,house_trained,health,good_in_a_home_with,adoption_fee,prefers_a_home_without,coat_length,pet_story_num_words,rescue_group,data_set
294,Adonis,5,0,Adult,Siamese Mix,Seal Point,Medium,Male,"Couch potato, Affectionate, Smart",Yes,"Vaccinations up to date, spayed / neutered, special needs.",,,,Short,166.0,Fuzzy Butt Rescue and TNR,thirty_days
295,ARIE & Adrian,4,1,Adult,Domestic Short Hair,Calico,Medium,Male,"friendly, likes to observe, responds to affection, a good cat",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,146.0,Place For Cats,thirty_days
296,ADRIAN & Arie,3,1,Adult,Domestic Short Hair,White,Medium,Male,"handsome, somewhat shy, smallish, friendly though a bit timid",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,161.0,Place For Cats,thirty_days
297,Delilah,4,0,Senior,Domestic Short Hair,Orange / Red,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Children.,,Other cats.,Short,95.0,Frankie's Fund for Feline Care and Rescue,thirty_days
298,Ruby,3,0,Young,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,Playful,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",$125.00,,Short,76.0,Union City Animal Trust,thirty_days
299,Charlotte,5,1,Young,Domestic Short Hair,Gray & White,Medium,Female,", Playful, Smart, Curious, Independent",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,245.0,Union City Feral Cat Committee,thirty_days
300,Diamond,3,1,Young,Domestic Short Hair,Black,Medium,Female,"healthy, friendly",Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs.",,,Short,88.0,Union City Animal Trust,thirty_days
301,Sofi,6,0,Young,Domestic Medium Hair,Tabby (Buff / Tan / Fawn),Medium,Female,"lovable, playful, independent, shy",Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,101.0,Union City Animal Trust,thirty_days
302,Begonia,5,0,Adult,Domestic Short Hair,Black,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,"Dogs, children.",,161.0,Union City Feral Cat Committee,thirty_days
303,Roger,6,0,Adult,Domestic Medium Hair,Tabby (Gray / Blue / Silver),Medium,Male,"Loving, affectionate, friendly, fiesty, Easygoing",Yes,"Vaccinations up to date, spayed / neutered.",,,Dogs.,Medium,113.0,Union City Animal Trust,thirty_days
304,Carson,6,0,Adult,Domestic Short Hair,Gray & White,Medium,Male,"Playful, Outgoing, Friendly, Handsome, Freckles, Energetic",Yes,"Vaccinations up to date, spayed / neutered.",,,,,69.0,Union City Animal Trust,thirty_days
305,Checkers,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Persistent, Determined, Energetic",Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,102.0,Union City Animal Trust,thirty_days
306,Mito,2,0,Senior,Tabby,Tabby (Gray / Blue / Silver),Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered, special needs. Diabetic and FIV positive.",Other cats.,,,Short,108.0,CLAWS,thirty_days
307,Mini & Maisy,6,0,Kitten,Calico & Domestic Short Hair Mix,Calico,Medium,Female,,Yes,Vaccinations up to date.,Other cats.,,,Short,117.0,CLAWS,thirty_days
308,"URGENT FOSTER HOME NEEDED!! ""Mama""",3,0,Adult,Tabby,Tabby (Brown / Chocolate),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,79.0,CLAWS,thirty_days
309,Sky Urgent foster home needed!,3,0,Adult,Domestic Short Hair,Gray & White,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,37.0,CLAWS,thirty_days
310,Puffy and Einstein,5,0,Adult,Domestic Long Hair,Gray / Blue / Silver,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,57.0,CLAWS,thirty_days
311,Gigi,2,0,Adult,Tortoiseshell,Tortoiseshell,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,58.0,CLAWS,thirty_days
312,Dodo White Kuwaiti Purrsian,0,0,Adult,Persian,White,Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,330.0,"Zanis Furry Friends ZFF, Inc",thirty_days
313,Liza Kuwaiti Exotic Short Hair,0,0,Adult,Exotic Shorthair Mix,Tabby (Gray / Blue / Silver),Medium,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Medium,317.0,"Zanis Furry Friends ZFF, Inc",thirty_days
314,Jackson FL Tux kitty,4,0,Kitten,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,264.0,"Zanis Furry Friends ZFF, Inc",thirty_days
315,Cocoa FL Calico kitty,5,0,Kitten,Domestic Short Hair & Calico Mix,Calico,Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",,,,269.0,"Zanis Furry Friends ZFF, Inc",thirty_days
316,Pensacola FL Tabby kitty,3,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,269.0,"Zanis Furry Friends ZFF, Inc",thirty_days
317,Augustine FL Tabby kitty,4,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,492.0,"Zanis Furry Friends ZFF, Inc",thirty_days
318,Boca FL Tabby kitty,3,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,269.0,"Zanis Furry Friends ZFF, Inc",thirty_days
319,Miami FL Tabby kitty,0,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,288.0,"Zanis Furry Friends ZFF, Inc",thirty_days
320,Orlando FL Tux kitty,6,0,Kitten,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Small,Male,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,269.0,"Zanis Furry Friends ZFF, Inc",thirty_days
321,Bocella Minnie Squeakerton NYC kitty,4,0,Kitten,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Medium,Female,", Gentle, Playful, Smart, Brave",Yes,"Vaccinations up to date, spayed / neutered, special needs.","Other cats, dogs, children.",,,Short,331.0,"Zanis Furry Friends ZFF, Inc",thirty_days
322,Flash Aloha Black NYC Bombshell,3,0,Kitten,Bombay,Black,Medium,Male,,Yes,"Vaccinations up to date, spayed / neutered.",Dogs.,,Children.,Short,350.0,"Zanis Furry Friends ZFF, Inc",thirty_days
323,Jaclyn NJ Kitty,6,0,Young,Tabby & Domestic Short Hair Mix,Tabby (Gray / Blue / Silver),Small,Female,,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,316.0,"Zanis Furry Friends ZFF, Inc",thirty_days
