Gordita and Chalupa,5,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Loyal, Gentle, Playful, Smart, Protective, Brave, Curious, Athletic, Funny, Independent, Quiet, Loves kisses, Dignified, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,Eccentric Kittens,14,No
Willow,0,0,Young,Domestic Short Hair,Black,Medium,Female,"Friendly, Affectionate, Loyal, Brave, Protective, Smart, Independent, Curious, Playful, Dignified, Quiet, Loves kisses, Couch potato, Funny, Athletic, Gentle",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,,Eccentric Kittens,14,No
Lulu,0,0,Kitten,Domestic Short Hair,Black,Medium,Female,"Affectionate, Loyal, Gentle, Brave, Protective, Smart, Curious, Playful, Independent, Funny, Athletic, Dignified, Quiet, Friendly, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,,Eccentric Kittens,14,No
Mr. Man,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Brave, Protective, Smart, Curious, Funny, Athletic, Couch potato, Dignified, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,25,Eccentric Kittens,14,No
Maskitty,0,0,Kitten,Dilute Tortoiseshell & Domestic Short Hair Mix,Dilute Tortoiseshell,Small,Female,"Affectionate, Gentle, Brave, Protective, Smart, Loyal, Friendly, Playful, Curious, Funny, Athletic, Couch potato, Dignified, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,,Eccentric Kittens,14,No
Happy,0,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Female,"Friendly, Affectionate, Loyal, Gentle, Brave, Protective, Smart, Playful, Curious, Independent, Funny, Athletic, Couch potato, Dignified, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,,Eccentric Kittens,14,No
Aries,0,0,Kitten,Domestic Short Hair,Orange / Red,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Brave, Protective, Smart, Playful, Curious, Independent, Funny, Athletic, Dignified, Quiet, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, dogs, children.",,,Short,,Eccentric Kittens,14,No
Yoshi,3,0,Adult,Domestic Short Hair,Tabby (Gray / Blue / Silver),Large,Male,"Friendly, Smart, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",Short,244,Anjellicle Cats Rescue,14,No
Mabel,3,0,Young,Domestic Short Hair Mix,Gray & White,Medium,Female,,,Yes,Vaccinations up to date.,,,,Short,61,Anjellicle Cats Rescue,14,No
Anya,3,0,Young,Domestic Short Hair Mix,Gray & White,Medium,Female,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,50,Anjellicle Cats Rescue,14,No
CHARLIE,3,0,Kitten,Tabby & Domestic Short Hair Mix,Orange & White,Small,Male,"Loyal, Friendly, Affectionate, Gentle, Loves kisses, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,Children.,Short,140,Paul the Cat Guy Inc,14,No
JULIUS,0,0,Kitten,Domestic Short Hair,Gray & White,Small,Male,"Friendly, Affectionate, Loyal, Playful, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,Dogs.,Short,140,Paul the Cat Guy Inc,14,No
Avery,5,0,Kitten,Domestic Long Hair,Black,Small,Female,"Friendly, Affectionate, Smart, Funny, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Long,129,Infinite Hope,14,No
Pete,6,0,Kitten,Domestic Short Hair,Orange / Red,Medium,Male,"Friendly, Affectionate, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,141,Infinite Hope,14,No
Tracy,6,0,Kitten,Tuxedo,Black & White / Tuxedo,Medium,Male,"Friendly, Affectionate, Gentle, Playful, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,131,Infinite Hope,14,No
Liz,6,0,Kitten,Tortoiseshell,Tortoiseshell,Medium,Female,"Gentle, Playful, Athletic, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,120,Infinite Hope,14,No
Jack,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Large,Male,"Friendly, Affectionate, Playful, Curious, Brave, Smart, Athletic",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,125,Infinite Hope,14,No
Romeo and Guero,4,0,Young,Domestic Short Hair,,Medium,Male,"Friendly, Affectionate, Gentle, Playful",,Yes,"Vaccinations up to date, spayed / neutered.",,,,Medium,149,The Lucky Cat Rescue,14,No
Jesse,4,0,Senior,Tabby,Gray / Blue / Silver,Large,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other animals. Humans.,,Other cats.,Medium,62,Frankie's Fund for Feline Care and Rescue,14,No
Crescent,0,0,Adult,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,"Independent, Quiet, Smart",,Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Dogs, children.",96,Union City Feral Cat Committee,14,No
Toby,4,0,Kitten,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Male,"Friendly, Affectionate, Playful, Smart, Brave, Curious, Gentle, Funny",,Yes,,,,,112,Union City Feral Cat Committee,14,No
Panda,0,0,Adult,Domestic Short Hair & Tuxedo Mix,Black & White / Tuxedo,Medium,Male,"Friendly, Playful, Smart, Curious, Independent",,Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,Dogs.,78,Union City Feral Cat Committee,14,No
Mirage,0,0,Adult,Domestic Short Hair & Tortoiseshell Mix,Tortoiseshell,Medium,Female,"Gentle, Smart, Quiet, Independent, Affectionate, Friendly",,Yes,"Vaccinations up to date, spayed / neutered.",,$150.00,"Dogs, children.",85,Union City Feral Cat Committee,14,No
Finley,6,0,Adult,Domestic Short Hair,Orange & White,Medium,Male,"Friendly, Affectionate, Playful, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Children.,$125.00,Other cats.,Short,111,Union City Animal Trust,14,No
Amapola,6,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Female,"Friendly, Gentle, Playful, Curious, Affectionate, Funny",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,,Short,131,Union City Animal Trust,14,No
Checkers,4,0,Adult,Domestic Short Hair,Black & White / Tuxedo,Medium,Male,"Affectionate, Loyal, Gentle, Quiet, Couch potato",,Yes,"Vaccinations up to date, spayed / neutered.","Other cats, children.",$125.00,,Short,87,Union City Animal Trust,14,No
Dill & Carrot,5,0,Kitten,Domestic Short Hair,Dilute Tortoiseshell,Medium,Male,"Friendly, Affectionate, Loyal, Gentle, Playful, Curious, Funny, Athletic, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$120.00,,Short,284,Cat Republic,14,No
Miss Misstoffelees,6,0,Young,Domestic Short Hair,Black,Medium,Female,", Affectionate, Gentle, Playful, Friendly, Curious, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$150.00,"Dogs, children.",Short,364,AdvoCat Rescue,14,No
Fries & Mash - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Friendly, Affectionate, Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
Mash & Fries - Bonded Brothers,6,0,Kitten,Domestic Short Hair,Black & White / Tuxedo,Small,Male,"Playful, Gentle, Curious, Independent, Funny, Loves kisses",,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$125.00,Children.,Short,229,AdvoCat Rescue,14,No
The Jimmy,6,0,Kitten,Domestic Short Hair,Gray & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,$200.00,,Short,264,AdvoCat Rescue,14,No
Hermione - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Calico,Medium,Female,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Ron - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Tabby (Buff / Tan / Fawn),Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Harry - Hogwarts Kittens,6,0,Kitten,Domestic Short Hair,Buff / Tan / Fawn,Medium,Male,,,Yes,Vaccinations up to date.,Other cats.,$200.00,,Short,244,AdvoCat Rescue,14,No
Max,0,0,Young,Domestic Short Hair,Orange & White,Medium,Male,,,Yes,"Vaccinations up to date, spayed / neutered.",,,,Short,51,Lindas Feral Cat Assistance,14,No
Swirly,5,0,Senior,Tabby,Tabby (Gray / Blue / Silver),Medium,Male,"Loyal, Affectionate, Gentle, Smart, Brave, Quiet",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",Short,105,KittyKaretakers of Queens,14,No
Monkey,2,0,Young,Domestic Short Hair,Lilac Point,Small,Male,"Friendly, Affectionate, Playful, Curious, Funny",,Yes,"Vaccinations up to date, spayed / neutered.",,,"Other cats, dogs, children.",103,KittyKaretakers of Queens,14,No
Suni,3,0,Young,Domestic Short Hair,Tabby (Brown / Chocolate),Medium,Female,Friendly,,Yes,"Vaccinations up to date, spayed / neutered.",Other cats.,,,Short,8,Lincoln Terrace Park Cats,14,No
